Luke source,flag,fielding.start,fielding.end,pollster,source,interview.mode,publisher,publication.date,sample,DKrefused.reported,DKrefused.combined,DK.reported,DK,refused.reported,refused,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.previouselectionallocation,Labor.TPP.previouselectionallocation,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Coalition.total.primary,Liberal.primary,National.primary,Labor.primary,Green.primary,FamilyFirst.primary,Democrats.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,KattersAustraliaParty.primary,Independent.primary,Other.primary,undecided.primary,sampleSize.published
,FALSE,7/7/09,12/7/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_130709.pdf,online,,,942.5,,,,,,,43,57,,,,,37,34,3,47,8,2,0,0,,,,,5,,1885
,FALSE,14/7/09,19/7/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_200709.pdf,online,,,957.5,,,,,,,44,56,,,,,39,36,3,46,7,2,0,0,,,,,5,,1915
,FALSE,21/7/09,26/7/09,Essential,http://blogs.crikey.com.au/pollytics/files/2009/07/essential-report_270709.pdf,online,,,931.5,,,,,,,43,57,,,,,37,34,3,48,7,2,0,0,,,,,5,,1863
,FALSE,27/7/09,2/8/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_030809.pdf,online,,,902.5,,,,,,,41,59,,,,,35,32,3,50,7,3,0,0,,,,,6,,1805
,FALSE,4/8/09,9/8/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_100809.pdf,online,,,910,,,,,,,40,60,,,,,34,32,2,50,8,3,6,0,,,,,0,,1820
,FALSE,10/8/09,16/8/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_170809.pdf,online,,,959,,,,,,,42,58,,,,,35,32,3,47,9,4,0,0,,,,,5,,1918
,FALSE,17/8/09,23/8/09,Essential,http://blogs.crikey.com.au/pollytics/files/2009/08/essential-report_240809.pdf,online,,,971,,,,,,,42,58,,,,,36,33,3,48,8,4,0,0,,,,,5,,1942
,FALSE,24/8/09,30/8/09,Essential,http://blogs.crikey.com.au/pollytics/files/2009/09/essential-report_310809.pdf,online,,,930.5,,,,,,,40,60,,,,,33,31,2,51,8,2,0,0,,,,,6,,1861
,FALSE,1/9/09,6/9/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_060709.pdf,online,,,1064.5,,,,,,,39,61,,,,,34,31,3,51,8,2,0,0,,,,,6,,2129
,FALSE,7/9/09,13/9/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_140909.pdf,online,,,940.5,,,,,,,41,59,,,,,35,32,3,49,8,3,0,0,,,,,6,,1881
,FALSE,14/9/09,20/9/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_210909.pdf,online,,,926.5,,,,,,,42,58,,,,,37,34,3,48,8,2,0,5,,,,,0,,1853
,FALSE,22/9/09,27/9/09,Essential,http://blogs.crikey.com.au/pollbludger/files/2009/09/Essential-Report_280909.pdf,online,,,1088.5,,,,,,,41,59,,,,,36,33,3,49,8,2,0,0,,,,,5,,2177
,FALSE,29/9/09,4/10/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_051009.pdf,online,,,1058.5,,,,,,,40,60,,,,,34,32,2,50,8,2,0,0,,,,,6,,2117
,FALSE,5/10/09,11/10/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_121009.pdf,online,,,922.5,,,,,,,42,58,,,,,37,34,3,47,8,2,0,0,,,,,6,,1845
,FALSE,12/10/09,18/10/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_191009.pdf,online,,,951.5,,,,,,,42,58,,,,,37,34,3,49,7,2,0,0,,,,,5,,1903
,FALSE,20/10/09,25/10/09,Essential,http://blogs.crikey.com.au/pollbludger/files/2009/10/Essential-Report_261009.pdf,online,,,983.5,,,,,,,41,59,,,,,36,33,3,50,8,2,0,0,,,,,5,,1967
,FALSE,27/10/09,1/11/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_021109.pdf,online,,,1003.5,,,,,,,41,59,,,,,35,33,2,49,8,3,0,0,,,,,5,,2007
,FALSE,2/11/09,8/11/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_091109.pdf,online,,,1014.5,,,,,,,41,59,,,,,35,33,2,48,9,3,0,0,,,,,5,,2029
,FALSE,9/11/09,12/11/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_161109.pdf,online,,,957.5,,,,,,,45,55,,,,,39,36,3,45,9,2,0,0,,,,,5,,1915
,FALSE,13/11/09,22/11/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_231109.pdf,online,,,946,,,,,,,45,55,,,,,39,36,3,45,7,3,0,0,,,,,6,,1892
,FALSE,24/11/09,29/11/09,Essential,http://blogs.crikey.com.au/pollbludger/files/2009/11/Essential-Report_301109.pdf,online,,,989.5,,,,,,,42,58,,,,,35,31,4,47,8,3,0,0,,,,,7,,1979
,FALSE,1/12/09,6/12/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_071209.pdf,online,,,961,,,,,,,42,58,,,,,34,30,4,46,9,3,0,0,,,,,8,,1922
,FALSE,7/12/09,13/12/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_141209.pdf,online,,,937.5,,,,,,,42,58,,,,,35,32,3,46,10,2,0,0,,,,,7,,1875
